index,predicate
4923,spender!=address(0)
5345,isContract(_app)
2890,_records[tokenOut].bound
7393,owner!=address(0)
343,_amount<=balances[_from]
1804,account!=address(0)
9623,"REWARD.getReward(address(this),shouldClaimExtras)"
7195,sender!=address(0)
1018,_value<=balances[_who]
6093,msg.sender==smartYield
624,msg.sender==grants[grantId].grantManager
4585,IERC721(COMIC_TOKEN).ownerOf(tokenId)==msg.sender
9072,_status!=_ENTERED
7807,tbtcDepositToken.exists(uint256(_depositAddress))
9590,"(value==0)||(token.allowance(address(this),spender)==0)"
7324,tAmount<=_tTotal
9613,address(REWARD)==crvRewards
1854,ownerMintedCount+_mintAmount<=nftPerAddressLimit
1577,self.pending==_amount
4684,currentAllowance>=subtractedValue
4600,!_exists(tokenId)
625,duration<=maximumLockDuration
3720,"_isApprovedOrOwner(_msgSender(),tokenId)"
8993,"_isApprovedOrOwner(_msgSender(),tokenId)"
8903,value<=type(uint8).max
2136,b<=a
6341,publicBool
7509,IERC20(_differentToken).balanceOf(address(this))>0
3272,owner!=address(0)
6609,isMinter(msg.sender)
8179,msg.value==LEVEL_PRICE[_level]
1233,amount<=_maxTxAmount
1808,isMainNet||keepers[msg.sender]||!isLocker
7710,_value<=allowance[_from][msg.sender]
3167,msg.sender==owner
915,b<=a
1863,round>0&&round<=totalTgeCount
6436,c/_a==_b
5063,b<=a
8573,"acl.hasPermission(this,acl,acl.CREATE_PERMISSIONS_ROLE())"
8602,_to!=0x0
6373,block.timestamp>_lockTime
2430,c/a==b
6691,_newOwner!=address(0)
8568,"isValidBump(lastVersion.semanticVersion,_newSemanticVersion)"
9777,sender!=address(0)
5573,token!=address(0)
1128,pausedTimestamp==0
4078,_isExcluded[account]
9638,_value<=balances[msg.sender]
7974,totalDistributed.add(tokenBought.add(totalReferral))<=ICOLimit
8835,totalConnectorWeight-connector.weight+_weight<=MAX_WEIGHT
4277,msg.sender==taxman
3340,snack.count>0
2144,_owner==_msgSender()
5030,allowToBurn(msg.sender)
5209,allowed[_from][msg.sender]>=_amount
6443,_value<=balances[msg.sender]
2939,owner!=address(0)
4171,a==0||c/a==b
9703,success
1620,duration!=0
6236,assets.length==sources.length
4447,recipient!=address(0)
6178,users[msg.sender].isExist
6202,b>0
4989,amount<=_maxTxAmount
3789,user.amount>=amount
3252,account!=address(0)
2086,account!=address(0)
8298,owner()==_msgSender()
7058,isContract(target)
2366,!hasMigrated[tokenHolder]
9992,claimedWithLoot[lootId]==false
4491,!goalReached()
1338,"hasRole(_roles[role].adminRole,_msgSender())"
6176,msg.value==pool9_price
1880,_round<=totalTgeCount
5502,c/a==b
5366,(dstDecimals-srcDecimals)<=MAX_DECIMALS
4956,!paused
713,position.callTimestamp==0
5357,contractAddress!=_blacklist[i]
2203,disputer!=address(0)
9045,b>0
8080,!_isExcluded[account]
