index,predicate
3934,currentAllowance>=subtractedValue
6989,"isAuthorized(msg.sender,msg.sig)"
3091,owner!=address(0)
5298,amount>0
1531,!_isController[_account]
2421,msg.sender==_administrator
5305,_to!=address(0)
3669,now>=cliff
1936,b>0
9413,from!=address(0)
8755,_to!=address(0)
1295,owner!=address(0)
7280,"from==_msgSender()||isApprovedForAll(from,_msgSender())"
3126,_to!=0x0
6407,"dividend.timestamp<SafeMath.sub(getNow(),RECYCLE_TIME)"
925,amount<=balances[msg.sender]
1539,!floatLocked()
261,isContract(target)
912,state==_state
4080,spender!=address(0)
6451,!frozenAccount[_to]
3489,spender!=address(0)
6937,totalTokensSent.add(_amount)<=token.totalSupply()
5753,block.timestamp>claim3_timestamp
4955,newOwner!=address(0)
7186,msg.sender==_owner
7077,c1>=c0
8707,tokenAmountOut<=(outRecord.balance).bmul(MAX_OUT_RATIO)
5614,_discountsActivated
8378,spender!=address(0)
6563,owner!=address(0)
783,TRUSTED_WITHDRAWERS[msg.sender]
8065,b>0
3052,address(this).balance>=value
4403,_lockedTokenUrls[tokenId].locked==true
7119,!frozenAccount[_to]
8673,_tokens.length>=MIN_BOUND_TOKENS
1244,z>=_x
7971,now>=startTime
1256,idx+20<=self.length
5086,"(msg.sender==_address)||isApprovedForAll(_address,msg.sender)"
9496,oracles[_oracle].admin==address(0)||oracles[_oracle].admin==_admin
154,!paused()
7707,_to!=0x0
6397,_revocable
1431,_msgSender()!=owner()
6580,owner()==_msgSender()
7924,account!=address(0)
2437,recipient!=address(0)
1135,_signerFeeDivisor<5000
2051,b>0
139,msg.sender==_user
227,_count<=2
7207,_to!=address(0)
3626,balanceRemaining>0
7789,_initialCollateralizedPercent>_undercollateralizedThresholdPercent
2789,_value<=balances[msg.sender]
5741,"_checkOnERC721Received(address(0),to,tokenId,_data)"
2114,balanceOf[_to]+_value>balanceOf[_to]
7444,msg.sender==lockedToken[_id].withdrawalAddress
2102,_to!=address(0)
5348,isContract(address(_kernelImpl))
9675,token().totalSupply()<get_max_supply()
1144,_changeInitializedTimestamp>0
8836,_fromToken!=_toToken
4795,"_owns(msg.sender,_tokenId)"
80,"_checkOnERC721Received(address(0),to,tokenId,_data)"
2527,bytes(_uri).length>0
4105,amountA>0
6114,IERC20(_tokenAddress).balanceOf(linkdropMaster)>=_tokenAmount
1986,_msgSender()==_developmentAddress||_msgSender()==_marketingAddress
9588,isContract(target)
4742,unlocked==1
8047,success
9528,msg.sender==owner||msg.sender==dev||msg.sender==marketing||msg.sender==adviser||msg.sender==privateSale||msg.sender==publicSale||msg.sender==community||msg.sender==Binance||msg.sender==CoinmarketCap||msg.sender==Coingecko
6162,users[msg.sender].referredUsers>=4
1664,tokenState==true
932,sender!=address(0)
9970,"_checkOnERC721Received(from,to,tokenId,_data)"
5953,tokensNumbers[i]>0
2496,"(value==0)||(token.allowance(address(this),spender)==0)"
1298,recipient!=address(0)
83,ERC721.ownerOf(tokenId)==from
7251,_assetAddress!=address(0)
4672,b<=a
8530,reserves[_reserveTokens[i]].isSet
9322,operator!=_msgSender()
9446,(b>=0&&c<=a)||(b<0&&c>a)
5720,ss.length%2==0
2098,eta!=0
7173,msg.sender==pendingProxyOwner()
1876,_addr!=address(0)
6297,isCollateralEnabled
463,"has(role,account)"
9479,recordedFunds.available>=requiredReserve(_paymentAmount)
8697,tokenAmountIn<=(inRecord.balance).bmul(MAX_IN_RATIO)
6276,"GenericLogic.balanceDecreaseAllowed(reserveAddress,msg.sender,amount,reservesData,userConfig,reserves,reservesCount,oracle)"
8541,sender!=address(0)
6908,_arr_addr.length>0&&_arr_addr.length<100
4683,currentAllowance>=amount
2131,predicates[predicate]._type==Type.Invalid
9047,_owner==msg.sender
9794,_ownerMintedCount+_mintAmount<=nftPerAddressLimitPresale
2072,_newOwner!=address(0)
3037,!projectMaxHasBeenInvoked[_projectId]
6170,users[msg.sender].isExist
8135,txns.length>0
6918,msg.sender==owner
9950,false
9870,rewardedBalance[_user]>=_value
1975,rAmount<=_rTotal
